Model,HMM,SeqLen,ValMSE,File
Multivariate_DLinear,NoHMM,60,76.3421859741211,Sub_Multivariate_DLinear_NoHMM_Win0_Seq60_MSE76.csv
Multivariate_DLinear,HMM4,7,80.48755645751953,Sub_Multivariate_DLinear_HMM4_Win30_Seq7_MSE80.csv
Multivariate_DLinear,NoHMM,30,84.83099365234375,Sub_Multivariate_DLinear_NoHMM_Win0_Seq30_MSE85.csv
Univariate_Linear,HMM4,7,85.62628936767578,Sub_Univariate_Linear_HMM4_Win30_Seq7_MSE86.csv
Multivariate_DLinear,HMM3,7,85.88397216796875,Sub_Multivariate_DLinear_HMM3_Win30_Seq7_MSE86.csv
Multivariate_DLinear,NoHMM,7,91.10543060302734,Sub_Multivariate_DLinear_NoHMM_Win0_Seq7_MSE91.csv
Univariate_Linear,NoHMM,7,92.20478820800781,Sub_Univariate_Linear_NoHMM_Win0_Seq7_MSE92.csv
Multivariate_DLinear,HMM3,30,92.36357879638672,Sub_Multivariate_DLinear_HMM3_Win30_Seq30_MSE92.csv
Multivariate_DLinear,HMM3,15,92.73455810546875,Sub_Multivariate_DLinear_HMM3_Win30_Seq15_MSE93.csv
Multivariate_DLinear,NoHMM,15,92.79713439941406,Sub_Multivariate_DLinear_NoHMM_Win0_Seq15_MSE93.csv
Univariate_Linear,NoHMM,15,93.25993347167969,Sub_Univariate_Linear_NoHMM_Win0_Seq15_MSE93.csv
Univariate_Linear,HMM3,60,94.1805419921875,Sub_Univariate_Linear_HMM3_Win60_Seq60_MSE94.csv
Univariate_Linear,HMM3,30,95.3044204711914,Sub_Univariate_Linear_HMM3_Win30_Seq30_MSE95.csv
Univariate_Linear,HMM3,30,96.1634521484375,Sub_Univariate_Linear_HMM3_Win60_Seq30_MSE96.csv
Multivariate_DLinear,HMM3,60,97.50052642822266,Sub_Multivariate_DLinear_HMM3_Win30_Seq60_MSE98.csv
Univariate_Linear,HMM3,15,98.45779418945312,Sub_Univariate_Linear_HMM3_Win30_Seq15_MSE98.csv
Univariate_Linear,HMM4,15,100.59478759765625,Sub_Univariate_Linear_HMM4_Win30_Seq15_MSE101.csv
Univariate_Linear,NoHMM,120,101.43140411376953,Sub_Univariate_Linear_NoHMM_Win0_Seq120_MSE101.csv
Multivariate_DLinear,HMM3,30,103.97602081298828,Sub_Multivariate_DLinear_HMM3_Win60_Seq30_MSE104.csv
Univariate_Linear,NoHMM,30,104.79727172851562,Sub_Univariate_Linear_NoHMM_Win0_Seq30_MSE105.csv
Multivariate_DLinear,HMM4,15,105.65475463867188,Sub_Multivariate_DLinear_HMM4_Win30_Seq15_MSE106.csv
Univariate_Linear,HMM3,7,109.09415435791016,Sub_Univariate_Linear_HMM3_Win30_Seq7_MSE109.csv
Univariate_Linear,HMM3,60,111.32917022705078,Sub_Univariate_Linear_HMM3_Win30_Seq60_MSE111.csv
Univariate_Linear,HMM3,15,115.26423645019531,Sub_Univariate_Linear_HMM3_Win60_Seq15_MSE115.csv
Multivariate_DLinear,HMM3,7,116.00105285644531,Sub_Multivariate_DLinear_HMM3_Win60_Seq7_MSE116.csv
Univariate_Linear,NoHMM,60,116.1504898071289,Sub_Univariate_Linear_NoHMM_Win0_Seq60_MSE116.csv
Univariate_Linear,HMM3,7,120.63910675048828,Sub_Univariate_Linear_HMM3_Win60_Seq7_MSE121.csv
Univariate_Linear,HMM4,15,120.85572814941406,Sub_Univariate_Linear_HMM4_Win60_Seq15_MSE121.csv
Multivariate_DLinear,HMM4,15,126.65362548828125,Sub_Multivariate_DLinear_HMM4_Win60_Seq15_MSE127.csv
Multivariate_DLinear,HMM3,15,129.69346618652344,Sub_Multivariate_DLinear_HMM3_Win60_Seq15_MSE130.csv
Univariate_Linear,HMM4,7,131.79608154296875,Sub_Univariate_Linear_HMM4_Win60_Seq7_MSE132.csv
Multivariate_DLinear,HMM4,7,135.0411834716797,Sub_Multivariate_DLinear_HMM4_Win60_Seq7_MSE135.csv
Univariate_Linear,HMM4,30,140.0313262939453,Sub_Univariate_Linear_HMM4_Win30_Seq30_MSE140.csv
Univariate_Linear,HMM4,30,141.8500518798828,Sub_Univariate_Linear_HMM4_Win60_Seq30_MSE142.csv
Univariate_Linear,HMM4,60,169.4915313720703,Sub_Univariate_Linear_HMM4_Win30_Seq60_MSE169.csv
Multivariate_DLinear,HMM4,30,183.9685516357422,Sub_Multivariate_DLinear_HMM4_Win60_Seq30_MSE184.csv
Univariate_Linear,HMM4,60,186.98707580566406,Sub_Univariate_Linear_HMM4_Win60_Seq60_MSE187.csv
Multivariate_DLinear,HMM4,30,224.6829376220703,Sub_Multivariate_DLinear_HMM4_Win30_Seq30_MSE225.csv
Multivariate_DLinear,HMM3,60,357.3017883300781,Sub_Multivariate_DLinear_HMM3_Win60_Seq60_MSE357.csv
Multivariate_DLinear,NoHMM,120,443.28009033203125,Sub_Multivariate_DLinear_NoHMM_Win0_Seq120_MSE443.csv
Multivariate_DLinear,HMM4,60,617.7680053710938,Sub_Multivariate_DLinear_HMM4_Win60_Seq60_MSE618.csv
Multivariate_DLinear,HMM4,60,3390.664794921875,Sub_Multivariate_DLinear_HMM4_Win30_Seq60_MSE3391.csv
Univariate_Linear,NoHMM,480,4888.3125,Sub_Univariate_Linear_NoHMM_Win0_Seq480_MSE4888.csv
Multivariate_DLinear,NoHMM,480,5628.6767578125,Sub_Multivariate_DLinear_NoHMM_Win0_Seq480_MSE5629.csv
